2020-09-19 00:42:22.210 [main] INFO  book.Books2 - Starting Books
2020-09-19 00:42:22.212 [main] INFO  book.Books2 - 2020-09-19T07:42:22.212111200Z
2020-09-19 00:42:22.220 [main] DEBUG book.db.Database - Loading database properties from db.properties
2020-09-19 00:42:22.223 [main] DEBUG book.db.Database - com.microsoft.sqlserver.jdbc.SQLServerDriver
2020-09-19 00:42:22.841 [main] DEBUG book.db.Database - Database connected
2020-09-19 00:42:22.987 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWCustomer
2020-09-19 00:42:23.023 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWBook
2020-09-19 00:42:23.072 [main] DEBUG book.db.Database - Found the target table named: A00855225_NEWPurchase
2020-09-19 00:42:23.073 [main] DEBUG book.Books2 - Creating the UI
2020-09-19 00:42:23.133 [main] INFO  book.Books2 - 2020-09-19T07:42:23.133110700Z
2020-09-19 00:42:23.134 [main] INFO  book.Books2 - Duration: 920 ms
2020-09-19 00:42:23.135 [main] INFO  book.Books2 - Books has stopped
2020-09-19 00:42:26.671 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 115
2020-09-19 00:42:26.685 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 116
2020-09-19 00:42:26.698 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 117
2020-09-19 00:42:26.711 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 118
2020-09-19 00:42:26.724 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 119
2020-09-19 00:42:26.737 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 120
2020-09-19 00:42:26.751 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 121
2020-09-19 00:42:26.768 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 122
2020-09-19 00:42:26.786 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 123
2020-09-19 00:42:26.804 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 124
2020-09-19 00:42:26.818 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 125
2020-09-19 00:42:26.836 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 126
2020-09-19 00:42:26.850 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 127
2020-09-19 00:42:26.867 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 128
2020-09-19 00:42:26.885 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 129
2020-09-19 00:42:26.904 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 130
2020-09-19 00:42:26.917 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 131
2020-09-19 00:42:26.933 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 132
2020-09-19 00:42:26.946 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 133
2020-09-19 00:42:26.959 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 134
2020-09-19 00:42:26.973 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 135
2020-09-19 00:42:26.987 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 136
2020-09-19 00:42:27.000 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 137
2020-09-19 00:42:27.013 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 138
2020-09-19 00:42:27.032 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 139
2020-09-19 00:42:27.046 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 140
2020-09-19 00:42:27.059 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 141
2020-09-19 00:42:27.072 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 142
2020-09-19 00:42:27.086 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 143
2020-09-19 00:42:27.100 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 144
2020-09-19 00:42:27.116 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 145
2020-09-19 00:42:27.129 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 146
2020-09-19 00:42:27.146 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 147
2020-09-19 00:42:27.159 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 148
2020-09-19 00:42:27.173 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 149
2020-09-19 00:42:27.190 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 150
2020-09-19 00:42:27.207 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 151
2020-09-19 00:42:27.220 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 152
2020-09-19 00:42:27.234 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 153
2020-09-19 00:42:27.247 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 154
2020-09-19 00:42:27.261 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 155
2020-09-19 00:42:27.275 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 156
2020-09-19 00:42:27.288 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 157
2020-09-19 00:42:27.301 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 158
2020-09-19 00:42:27.315 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 159
2020-09-19 00:42:27.328 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 160
2020-09-19 00:42:27.343 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 161
2020-09-19 00:42:27.356 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 162
2020-09-19 00:42:27.369 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 163
2020-09-19 00:42:27.383 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 164
2020-09-19 00:42:27.397 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 165
2020-09-19 00:42:27.410 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 166
2020-09-19 00:42:27.424 [AWT-EventQueue-0] DEBUG book.db.BookDao - SELECT * FROM A00855225_NEWBook WHERE id = 167
